source,text,created,compound,positive,negative,neutral,tweets ago
@BBCBreaking,"Heterosexual couples in England &amp; Wales to be given right to enter into civil partnerships rather than marriage, Th… https://t.co/EAMejUIpvn",Tue Oct 02 10:37:30 +0000 2018,0.0,0.0,0.0,1.0,1
@BBCBreaking,"Number of people killed in Indonesia quake and tsunami rises to more than 1,200, officials say https://t.co/TZucu47QUz",Tue Oct 02 06:55:57 +0000 2018,-0.6369,0.062,0.216,0.721,2
@BBCBreaking,"@pakhead Atmosphere transforms from anger to jubilation as police back down and let crowds into shops, @pakhead rep… https://t.co/uUz5mowIWz",Tue Oct 02 06:25:58 +0000 2018,-0.5719,0.0,0.171,0.829,3
@BBCBreaking,BBC's @pakhead sees police fire shots and tear gas as desperation grows in Indonesia's disaster-stricken #Palu https://t.co/TsM9u1sKOm,Tue Oct 02 06:13:53 +0000 2018,-0.6597,0.0,0.265,0.735,4
@BBCBreaking,"French singer and songwriter Charles Aznavour has died aged 94 after a career lasting more than 80 years, a spokesm… https://t.co/rPDyux6inR",Mon Oct 01 12:16:14 +0000 2018,-0.5574,0.0,0.167,0.833,5
@BBCBreaking,"RT @5liveSport: That's it!

Mickelson hits the water and concedes to Francesco Molinari!

#TeamEurope have won the #RyderCup !!

🎙️📻https:/…",Sun Sep 30 15:02:11 +0000 2018,0.7067,0.204,0.0,0.796,6
@BBCBreaking,At least 832 people now known to have died in Indonesian earthquake and tsunami - emergency officials https://t.co/uBzqMfoKLJ,Sun Sep 30 06:52:14 +0000 2018,-0.7351,0.0,0.292,0.708,7
@BBCBreaking,Senior Tory MPs have had their personal details exposed due to security flaw in Conservative conference app https://t.co/AF063jzOxD,Sat Sep 29 14:18:39 +0000 2018,0.2732,0.122,0.066,0.812,8
@BBCBreaking,At least 384 people now known to have died after an earthquake and tsunami hit a coastal Indonesian city https://t.co/IprVdGRuCg,Sat Sep 29 07:33:05 +0000 2018,-0.5574,0.0,0.167,0.833,9
@BBCBreaking,US President Donald Trump orders FBI to reopen background inquiry into Supreme Court nominee Brett Kavanaugh over s… https://t.co/ZgqnxO5Gox,Fri Sep 28 21:09:09 +0000 2018,0.5574,0.167,0.0,0.833,10
@BBCBreaking,Brett Kavanaugh's nomination to US Supreme Court backed by Senate committee as discussions continue over FBI inquiry https://t.co/KKe4X2DRQA,Fri Sep 28 18:04:12 +0000 2018,0.5719,0.227,0.0,0.773,11
@BBCBreaking,"Facebook says the security flaw has been fixed and it has informed police. In a statement it says ""we have yet to d… https://t.co/naGAXzvkxG",Fri Sep 28 17:44:43 +0000 2018,0.34,0.098,0.0,0.902,12
@BBCBreaking,"50 million Facebook accounts compromised, the social network says - in all, 90m accounts will have to take action https://t.co/GL3MyqXgHF",Fri Sep 28 17:08:56 +0000 2018,0.0,0.0,0.0,1.0,13
@BBCBreaking,"Officers searching for missing Worcester student Thomas Jones, 18, find a body in the River Severn https://t.co/Zj8Ug65gr0",Fri Sep 28 15:55:27 +0000 2018,-0.296,0.0,0.128,0.872,14
@BBCBreaking,Danish police seal off bridges and ferries to Sweden and Germany in a major operation https://t.co/uvVH4ANjHm,Fri Sep 28 12:54:18 +0000 2018,0.0,0.0,0.0,1.0,15
@BBCBreaking,"Pret a Manger’s allergy labelling was inadequate, says coroner in case of girl who died after eating a baguette https://t.co/93qasWccnJ",Fri Sep 28 09:46:20 +0000 2018,-0.743,0.0,0.283,0.717,16
